,Date,All_pairs_count,Internal_pairs_count,Pairs_ratio,All_src_add_count,All_dst_add_count,All_src_ports_count,All_dst_ports_count,Ports_ratio,All_packets_sum,Internal_packets_sum,All_packets_count,All_small_packet_count,Internal_packets_count,ARP_count,Internal_TCP_count,SSH_count,HTTP_5xx_count,HTTP_4xx_count,Other_HTTP_count,Dst_src_address_ratio,Packet_count_ratio,Packet_sum_ratio,Small_packet_ratio,ARP_packet_ratio,TCP_packet_ratio,SSH_packet_ratio,All_packets_mean,Internal_packets_mean,Avg_packet_count_per_src_add,Avg_packet_count_per_dst_add,Avg_packet_count_per_src_port,Avg_packet_count_per_dst_port,Avg_packet_count_per_pair,Top_5_protocols,Top_5_internal_protocols,class
0,2022-04-29 16:26,95,35,0.368421053,47,36,45,41,0.911111111,4684224,30226,4687,1018,499,394,,,,,,0.765957447,0.10646469,0.006452723,0.217196501,0.0840623,,,999.4077235,60.57314629,19.96,38.38461538,,,14.25714286,"['UDP','ARP','GQUIC','ICMP','DATA']","['ARP','ICMP']",ARP_spoofing
1,2022-04-29 16:26,118,54,0.457627119,46,37,26,22,0.846153846,4162695,39504,4383,1186,645,469,,,,,,0.804347826,0.14715948,0.009490006,0.270590919,0.107004335,,,949.7364819,61.24651163,26.875,49.61538462,,,11.94444444,"['UDP','ARP','ICMP','DATA','GQUIC']","['ARP','ICMP']",ARP_spoofing
2,2022-04-29 16:27,104,48,0.461538462,37,33,24,21,0.875,4095466,53012,4584,1476,863,709,,,,,,0.891891892,0.188263525,0.01294407,0.321989529,0.154668412,,,893.4262653,61.42757822,47.94444444,66.38461538,,,17.97916667,"['UDP','ARP','DATA','GQUIC','ICMP']","['ARP','ICMP']",ARP_spoofing
3,2022-04-29 16:28,97,49,0.505154639,36,29,20,17,0.85,4018643,46050,4470,1363,751,595,,,,,,0.805555556,0.168008949,0.011459092,0.3049217,0.13310962,,,899.0252796,61.31824234,39.52631579,57.76923077,,,15.32653061,"['UDP','ARP','DATA','GQUIC','ICMP']","['ARP','ICMP']",ARP_spoofing
4,2022-04-29 16:29,101,48,0.475247525,36,33,22,19,0.863636364,2879872,45430,3463,1238,741,587,,,,,,0.916666667,0.213976321,0.015775007,0.357493503,0.169506208,,,831.6118972,61.30904184,41.16666667,57,,,15.4375,"['UDP','ARP','DATA','GQUIC','ICMP']","['ARP','ICMP']",ARP_spoofing
5,2022-04-29 16:29,107,49,0.457943925,40,31,23,20,0.869565217,1888470,39602,2576,1056,647,491,,,,,,0.775,0.251164596,0.020970415,0.409937888,0.19060559,,,733.1017081,61.20865533,34.05263158,49.76923077,,,13.20408163,"['UDP','ARP','DATA','ICMP','GQUIC']","['ARP','ICMP']",ARP_spoofing
6,2022-06-07 17:22:30,118,56,0.4745762711864407,36,36,30,28,0.9333333333333333,2509604,66622,3941,1707,1084,890,,,,,,1.0,0.27505709210860185,0.026546817744950997,0.43313879725957877,0.22583100735853845,,,636.7937071809185,61.45940959409594,63.76470588235294,67.75,,,19.357142857142858,"['UDP','ARP','ICMP','GQUIC','TCP']","['ARP','ICMP']",ARP_spoofing
7,2022-04-29 16:30,121,48,0.396694215,45,40,30,26,0.866666667,2100994,40940,2909,1165,668,516,,,,,,0.888888889,0.229632176,0.019486015,0.400481265,0.177380543,,,722.2392575,61.28742515,37.11111111,51.38461538,,,13.91666667,"['UDP','ARP','GQUIC','DATA','ICMP']","['ARP','ICMP']",ARP_spoofing
8,2022-04-29 16:31,110,47,0.427272727,38,36,41,38,0.926829268,2115074,45298,3138,1263,738,584,,,,,,0.947368421,0.235181644,0.021416745,0.40248566,0.1861058,,,674.0197578,61.37940379,43.41176471,56.76923077,,,15.70212766,"['UDP','ARP','GQUIC','DATA','ICMP']","['ARP','ICMP']",ARP_spoofing
10,2022-04-29 16:12,70,8,0.114285714,33,27,35,32,0.914285714,4309712,133983,4113,735,422,16,374,,,,5,0.818181818,0.102601507,0.03108862,0.178701678,0.003890105,0.886255924,,1047.82689,317.4952607,52.75,105.5,45.11111111,45.11111111,52.75,"['UDP','TCP','GQUIC','TLS','HTTP']","['TCP','HTTP','ARP','JSON','NBNS']",docker_commands
